"공간정보관리번호","X 좌표 최소값","Y 좌표 최소값","X 좌표 최대값","Y 좌표 최대값","제설함번호","관리기관명","위치상세정보","비고"
"3103","199430.9","543186.6","199430.9","543186.6","서초1-100","서초구","내방역7번출구 뒤","방배로"
"3104","200345.0","543602.2","200345.0","543602.2","서초1-101","서초구","대법원 후문","동광로"
"3105","199818.1","543951.9","199818.1","543951.9","서초1-102","서초구","방배중학교 입구 삼거리","서래로"
"3106","199601.4","543833.1","199601.4","543833.1","서초1-103","서초구","동광로28길 입구","서래로"
"3107","199544.0","543887.4","199544.0","543887.4","서초1-104","서초구","동광로27길 입구","서래로"
"3108","204499.5","541341.7","204499.5","541341.7","서초1-105","서초구","양재대로 입구","논현로"
"3109","203915.9","542098.1","203915.9","542098.1","서초1-106","서초구","마방공원입구","논현로"
"3110","203634.0","542873.0","203634.0","542873.0","서초1-107","서초구","남부순환로 논현로입구","논현로"
"3111","201536.8","539912.0","201536.8","539912.0","서초1-108","서초구","민마루 고개","중앙로"
"3112","201854.4","540150.8","201854.4","540150.8","서초1-109","서초구","우면터널 삼거리","중앙로"
"3113","202159.6","540485.7","202159.6","540485.7","서초1-110","서초구","우면초등학교 육교내","태봉로"
"3114","202171.6","540476.3","202171.6","540476.3","서초1-111","서초구","우면초등학교 육교 주변 공원","태봉로"
"3115","202315.0","540658.8","202315.0","540658.8","서초1-112","서초구","네이처힐 34단지 버스정류장 (영동중학교 맞은편)","태봉로"
"3116","202755.6","541360.6","202755.6","541360.6","서초1-113","서초구","KT 개발본부사거리","바우뫼로"
"3117","202273.0","541219.8","202273.0","541219.8","서초1-114","서초구","양재1동주민센터인근","바우뫼로"
"3118","200777.5","546268.9","200777.5","546268.9","서초1-115","서초구","한신아파트 118동앞","잠원로"
"3119","200520.9","545944.2","200520.9","545944.2","서초1-116","서초구","반포3동주민센터삼거리","잠원로"
"3120","200658.0","545590.0","200658.0","545590.0","서초1-117","서초구","뉴코아동관앞","잠원로"
"3121","200674.0","545647.0","200674.0","545647.0","서초1-118","서초구","뉴코아동관건너편","잠원로"
"3376","211801.2","546983.9","211801.2","546983.9","강동-06","강동구","강동대로 245","강동대로"
"3377","212692.9","546464.7","212692.9","546464.7","강동-07","강동구","강동대로 327","강동대로"
"3378","212052.6","547738.5","212052.6","547738.5","강동-08","강동구","양재대로 1377","양재대로"
"3379","212572.2","547560.3","212572.2","547560.3","강동-09","강동구","명일로 102","명일로"
"3380","212948.8","547397.3","212948.8","547397.3","강동-10","강동구","둔촌동 105-5","동남로"
"3381","212941.4","547202.4","212941.4","547202.4","강동-11","강동구","둔촌동 116-11","동남로"
"3382","210561.7","549062.2","210561.7","549062.2","강동-12","강동구","선사로 20","선사로"
"3383","210885.1","548854.2","210885.1","548854.2","강동-13","강동구","천호대로 997","천호대로"
"3384","211390.0","548585.5","211390.0","548585.5","강동-14","강동구","천호대로 1056","천호대로"
