기준일ID,시간대구분,행정동코드,총생활인구수
20210102,11,11380600,23703.3763
20210102,11,11380625,46337.3217
20210102,11,11380631,26307.3695
20210102,11,11380632,16445.9625
20210102,11,11380640,13102.203
20210102,11,11380650,11570.4234
20210102,11,11380690,65840.2485
20210102,12,11380510,34588.9834
20210102,12,11380520,36064.2699
20210102,12,11380530,22607.605
20210102,12,11380551,25754.9742
20210102,12,11380552,23802.961
20210102,12,11380560,26883.1079
20210102,12,11380570,33482.1415
20210102,12,11380580,27013.3309
20210102,12,11380590,17966.4465
20210102,12,11380600,23145.236
20210102,12,11380625,45722.4317
20210102,12,11380631,26033.3034
20210102,12,11380632,16166.9714
20210102,12,11380640,13093.6245
20210102,12,11380650,11558.9844
20210102,12,11380690,65782.483
20210102,13,11380510,34191.0972
20210102,13,11380520,36007.3622
20210102,13,11380530,22092.5944
20210102,13,11380551,25538.6716
20210102,13,11380552,23552.9439
20210102,13,11380560,26741.7382
20210102,13,11380570,33427.6333
20210102,13,11380580,26516.0623
20210102,13,11380590,17800.4007
20210102,13,11380600,23194.6934
20210102,13,11380625,44717.2344
20210102,13,11380631,26280.9341
20210102,13,11380632,15823.784
20210102,13,11380640,13406.505
20210102,13,11380650,11219.4093
20210102,13,11380690,66171.0503
20210102,14,11380510,33329.0097
20210102,14,11380520,36135.9492
20210102,14,11380530,21834.6457
20210102,14,11380551,25442.7753
20210102,14,11380552,23388.4544
20210102,14,11380560,26334.1528
20210102,14,11380570,34135.5712
20210102,14,11380580,26360.5118
20210102,14,11380590,17454.8701
20210102,14,11380600,22911.7165
20210102,14,11380625,44279.946
20210102,14,11380631,26260.7247
20210102,14,11380632,15716.2012
20210102,14,11380640,13171.3392
20210102,14,11380650,11145.6006
20210102,14,11380690,65940.3345
20210102,15,11380510,33585.881
20210102,15,11380520,36603.4464
20210102,15,11380530,21721.0706
20210102,15,11380551,25597.365
20210102,15,11380552,23532.756
20210102,15,11380560,26034.2624
20210102,15,11380570,33703.6219
20210102,15,11380580,26477.582
20210102,15,11380590,17407.7836
20210102,15,11380600,23032.7124
20210102,15,11380625,44346.7979
20210102,15,11380631,26033.4632
20210102,15,11380632,15684.8318
20210102,15,11380640,13149.1817
20210102,15,11380650,10783.2453
20210102,15,11380690,66223.0613
20210102,16,11380510,33449.2495
20210102,16,11380520,37078.1612
20210102,16,11380530,22000.1696
20210102,16,11380551,26032.0871
20210102,16,11380552,24002.2891
20210102,16,11380560,26182.1663
20210102,16,11380570,34362.764
20210102,16,11380580,26531.6344
20210102,16,11380590,18131.7567
20210102,16,11380600,23249.0923
20210102,16,11380625,44807.6726
20210102,16,11380631,26252.3064
20210102,16,11380632,15891.3979
20210102,16,11380640,13386.1123
20210102,16,11380650,10837.4275
20210102,16,11380690,65570.8966
20210102,17,11380510,33352.6047
20210102,17,11380520,37632.4564
20210102,17,11380530,22487.442
20210102,17,11380551,26498.2517
20210102,17,11380552,24628.0829
20210102,17,11380560,26633.6838
20210102,17,11380570,34518.8466
20210102,17,11380580,26428.4733
20210102,17,11380590,18980.931
20210102,17,11380600,23455.8263
20210102,17,11380625,45583.5377
20210102,17,11380631,26643.3336
20210102,17,11380632,16361.5138
20210102,17,11380640,13728.6221
20210102,17,11380650,11079.3303
20210102,17,11380690,64997.0359
20210102,18,11380510,33770.8385
20210102,18,11380520,38607.3899
20210102,18,11380530,22812.1461
20210102,18,11380551,27036.8227
20210102,18,11380552,24954.7909
20210102,18,11380560,27044.9507
20210102,18,11380570,35024.7123
20210102,18,11380580,26503.6734
20210102,18,11380590,19508.1037
20210102,18,11380600,23586.1811
20210102,18,11380625,46855.1228
20210102,18,11380631,27531.4761
