기준일ID,시간대구분,행정동코드,총생활인구수
20201202,19,11380632,14583.6789
20201202,19,11380640,12329.5822
20201202,19,11380650,12467.3505
20201202,19,11380690,63144.2337
20201202,20,11380510,35270.6236
20201202,20,11380520,37640.1998
20201202,20,11380530,21653.4195
20201202,20,11380551,27020.6022
20201202,20,11380552,24649.4732
20201202,20,11380560,26015.6856
20201202,20,11380570,34614.8338
20201202,20,11380580,27747.5029
20201202,20,11380590,17378.922
20201202,20,11380600,25911.2488
20201202,20,11380625,45458.5366
20201202,20,11380631,26039.8454
20201202,20,11380632,15093.7108
20201202,20,11380640,12680.8663
20201202,20,11380650,12485.513
20201202,20,11380690,64024.994
20201202,21,11380510,35746.0081
20201202,21,11380520,38856.1375
20201202,21,11380530,22586.3272
20201202,21,11380551,26972.0968
20201202,21,11380552,24884.583
20201202,21,11380560,26906.7057
20201202,21,11380570,35888.311
20201202,21,11380580,27948.3979
20201202,21,11380590,18295.7945
20201202,21,11380600,26838.9968
20201202,21,11380625,46449.726
20201202,21,11380631,26674.0846
20201202,21,11380632,15760.354
20201202,21,11380640,13015.9499
20201202,21,11380650,12772.0234
20201202,21,11380690,66128.1483
20201202,22,11380510,36838.8023
20201202,22,11380520,39410.1133
20201202,22,11380530,23112.4039
20201202,22,11380551,26865.4464
20201202,22,11380552,25682.3922
20201202,22,11380560,27551.7643
20201202,22,11380570,36739.6114
20201202,22,11380580,28363.3243
20201202,22,11380590,18940.5669
20201202,22,11380600,27400.8522
20201202,22,11380625,47223.4144
20201202,22,11380631,26988.2048
20201202,22,11380632,16131.8238
20201202,22,11380640,13298.5958
20201202,22,11380650,13068.087
20201202,22,11380690,66251.5145
20201202,23,11380510,39672.4792
20201202,23,11380520,37669.6645
20201202,23,11380530,25787.2488
20201202,23,11380551,24705.0077
20201202,23,11380552,28664.3292
20201202,23,11380560,29557.0338
20201202,23,11380570,34724.9273
20201202,23,11380580,29895.5435
20201202,23,11380590,20832.8532
20201202,23,11380600,26027.8779
20201202,23,11380625,49088.9111
20201202,23,11380631,26935.6442
20201202,23,11380632,17907.3872
20201202,23,11380640,13317.3936
20201202,23,11380650,11955.9817
20201202,23,11380690,67466.7735
20201203,0,11380510,39872.9051
20201203,0,11380520,38301.9513
20201203,0,11380530,25803.1334
20201203,0,11380551,24460.5125
20201203,0,11380552,28826.2728
20201203,0,11380560,29821.3046
20201203,0,11380570,34669.1131
20201203,0,11380580,29985.7311
20201203,0,11380590,20835.0842
20201203,0,11380600,26055.182
20201203,0,11380625,49227.8617
20201203,0,11380631,27088.5231
20201203,0,11380632,17884.9017
20201203,0,11380640,13372.3369
20201203,0,11380650,12080.344
20201203,0,11380690,67248.7158
20201203,1,11380510,39707.8786
20201203,1,11380520,38246.0891
20201203,1,11380530,25660.7174
20201203,1,11380551,24305.0647
20201203,1,11380552,29058.5135
20201203,1,11380560,29939.0582
20201203,1,11380570,34968.6908
20201203,1,11380580,30140.6389
20201203,1,11380590,20974.7591
20201203,1,11380600,26223.0949
20201203,1,11380625,49235.7334
20201203,1,11380631,26769.2286
20201203,1,11380632,18028.3494
20201203,1,11380640,13402.8868
20201203,1,11380650,12156.1898
20201203,1,11380690,67394.8504
20201203,2,11380510,39787.499
20201203,2,11380520,38485.4855
20201203,2,11380530,25595.3652
20201203,2,11380551,24281.4886
20201203,2,11380552,29169.4965
20201203,2,11380560,29864.866
20201203,2,11380570,34876.3987
20201203,2,11380580,30191.8447
20201203,2,11380590,20935.2325
20201203,2,11380600,26172.8361
20201203,2,11380625,49268.1468
20201203,2,11380631,26702.7374
20201203,2,11380632,18095.0803
20201203,2,11380640,13432.5322
20201203,2,11380650,12315.4697
20201203,2,11380690,67234.5988
20201203,3,11380510,39740.8648
20201203,3,11380520,36664.9201
20201203,3,11380530,25963.1396
20201203,3,11380551,24300.4759
20201203,3,11380552,29138.2472
